"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1358","Check displaying of empty courses list","LMS system","Sun Jan 25 20:50:36 UTC 2026","passed","Sun Jan 25 20:50:37 UTC 2026","TestCourses","Courses","",""
"","7390","Edit course","LMS system","Sun Jan 25 20:50:43 UTC 2026","passed","Sun Jan 25 20:50:50 UTC 2026","TestCourses","Courses","",""
"","2680","User login with wrong email or password","LMS system","Sun Jan 25 20:50:20 UTC 2026","passed","Sun Jan 25 20:50:23 UTC 2026","TestAuthorization","Authentication","",""
"","1302","Check displaying of empty courses list","LMS system","Sun Jan 25 20:50:37 UTC 2026","passed","Sun Jan 25 20:50:38 UTC 2026","TestCourses","Courses","",""
"","2837","Registration with correct email, username and password","LMS system","Sun Jan 25 20:50:32 UTC 2026","passed","Sun Jan 25 20:50:35 UTC 2026","TestRegistration","Authentication","",""
"","4553","Create course","LMS system","Sun Jan 25 20:50:38 UTC 2026","passed","Sun Jan 25 20:50:42 UTC 2026","TestCourses","Courses","",""
"","1876","User login with wrong email or password","LMS system","Sun Jan 25 20:50:08 UTC 2026","passed","Sun Jan 25 20:50:10 UTC 2026","TestAuthorization","Authentication","",""
"","1368","Navigation from login page to registration page","LMS system","Sun Jan 25 20:50:30 UTC 2026","passed","Sun Jan 25 20:50:31 UTC 2026","TestAuthorization","Authentication","",""
"","10114","Edit course","LMS system","Sun Jan 25 20:50:47 UTC 2026","passed","Sun Jan 25 20:50:57 UTC 2026","TestCourses","Courses","",""
"","1719","Registration with correct email, username and password","LMS system","Sun Jan 25 20:50:32 UTC 2026","passed","Sun Jan 25 20:50:34 UTC 2026","TestRegistration","Authentication","",""
"","6078","User login with correct email and password","LMS system","Sun Jan 25 20:50:24 UTC 2026","passed","Sun Jan 25 20:50:30 UTC 2026","TestAuthorization","Authentication","",""
"","1854","User login with wrong email or password","LMS system","Sun Jan 25 20:50:08 UTC 2026","passed","Sun Jan 25 20:50:10 UTC 2026","TestAuthorization","Authentication","",""
"","1479","Navigation from login page to registration page","LMS system","Sun Jan 25 20:50:30 UTC 2026","passed","Sun Jan 25 20:50:32 UTC 2026","TestAuthorization","Authentication","",""
"","1257","User login with wrong email or password","LMS system","Sun Jan 25 20:50:11 UTC 2026","passed","Sun Jan 25 20:50:12 UTC 2026","TestAuthorization","Authentication","",""
"","2684","User login with wrong email or password","LMS system","Sun Jan 25 20:50:20 UTC 2026","passed","Sun Jan 25 20:50:23 UTC 2026","TestAuthorization","Authentication","",""
"","2254","User login with wrong email or password","LMS system","Sun Jan 25 20:50:24 UTC 2026","passed","Sun Jan 25 20:50:26 UTC 2026","TestAuthorization","Authentication","",""
"","1712","Check displaying of dashboard page","LMS system","Sun Jan 25 20:50:58 UTC 2026","passed","Sun Jan 25 20:51:00 UTC 2026","TestDashboard","Dashboard","",""
"","3042","User login with correct email and password","LMS system","Sun Jan 25 20:50:26 UTC 2026","passed","Sun Jan 25 20:50:29 UTC 2026","TestAuthorization","Authentication","",""
"","2228","Check displaying of dashboard page","LMS system","Sun Jan 25 20:50:51 UTC 2026","passed","Sun Jan 25 20:50:53 UTC 2026","TestDashboard","Dashboard","",""
"","7256","Create course","LMS system","Sun Jan 25 20:50:39 UTC 2026","passed","Sun Jan 25 20:50:46 UTC 2026","TestCourses","Courses","",""
